City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hasaki,35.7333,140.8333,3.22,74,100,1.51,JP,1703876157
1,Desaguadero,-16.5656,-69.0417,17.22,41,93,6.62,PE,1703876158
2,Cockburn Town,21.4612,-71.1419,26.98,74,75,3.09,TC,1703876158
3,Coahuayana de Hidalgo,18.7,-103.6583,28.32,50,0,2.38,MX,1703876158
4,Puerto Ayora,-0.7393,-90.3518,29.98,91,53,3.13,EC,1703875896
5,Vila Velha,-20.3297,-40.2925,30.97,78,40,7.2,BR,1703876059
6,Port-aux-Français,-49.35,70.2167,5.21,74,100,14.83,TF,1703875886
7,Tsimasham,27.0989,89.536,3.53,83,3,2.56,BT,1703876160
8,Tiksi,71.6872,128.8694,-35.15,99,63,3.29,RU,1703876160
9,Baixa Grande,-11.9597,-40.1681,34.63,25,87,2.99,BR,1703876161
10,Iqaluit,63.7506,-68.5145,-13.15,84,75,0.0,CA,1703876161
11,Waitangi,-43.9535,-176.5597,17.12,92,100,5.36,NZ,1703876161
12,Bredasdorp,-34.5322,20.0403,21.08,87,93,5.67,ZA,1703876161
13,Kapuskasing,49.4169,-82.4331,-7.95,93,100,6.17,CA,1703876162
14,Auki,-8.7676,160.7034,25.41,86,100,0.74,SB,1703876162
15,Margaret River,-33.95,115.0667,15.06,76,0,6.11,AU,1703875921
16,Kasempa,-13.4584,25.8338,19.66,81,38,0.12,ZM,1703876163
17,Kuala Tungkal,-0.8167,103.4667,25.66,89,96,2.05,ID,1703876163
18,Road Town,18.4167,-64.6167,25.78,69,7,4.04,VG,1703876164
19,Port Mathurin,-19.6833,63.4167,27.43,80,76,2.71,MU,1703876164
20,Invercargill,-46.4,168.35,11.68,92,100,5.81,NZ,1703875913
21,Qui Nhon,13.7667,109.2333,23.18,90,56,3.94,VN,1703876164
22,Geraldton,-28.7667,114.6,22.23,83,100,5.66,AU,1703876165
23,Adamstown,-25.066,-130.1015,22.58,76,88,8.14,PN,1703876165
24,Palikir,6.9248,158.1611,27.73,76,89,6.05,FM,1703876165
25,Papatowai,-46.5619,169.4708,11.92,93,100,5.13,NZ,1703876166
26,Ta`ū,-14.2336,-169.5144,28.03,76,100,4.54,AS,1703876166
27,Puerto Natales,-51.7236,-72.4875,14.25,44,75,2.06,CL,1703876167
28,Dolores,-36.3132,-57.6792,22.2,36,11,8.19,AR,1703876167
29,Labrador City,52.9463,-66.9114,-7.05,79,100,2.06,CA,1703876168
30,Nouadhibou,20.931,-17.0347,26.99,19,100,3.09,MR,1703876168
31,Blackmans Bay,-43.0167,147.3167,11.07,71,10,0.89,AU,1703876168
32,Carthage,36.8611,10.3316,12.74,88,20,0.0,TN,1703876168
33,Constanța,44.1833,28.65,5.39,74,92,3.74,RO,1703876169
34,East London,-33.0153,27.9116,22.52,78,0,5.14,ZA,1703876169
35,Bilibino,68.0546,166.4372,-42.81,100,63,0.95,RU,1703876170
36,Codrington,-38.2667,141.9667,13.48,80,100,6.22,AU,1703875901
37,Grytviken,-54.2811,-36.5092,1.78,69,19,4.1,GS,1703876170
